

gen best mean std
0 87.151054 -1.602898 13.634536
1 87.151054 5.474584 21.609489
2 87.151054 22.41384 34.017732
3 91.962264 44.143251 39.841423
4 91.962264 62.216568 33.443803
5 91.962264 76.891794 21.619545
6 91.962264 67.500817 37.433342
7 92.006285 81.985542 17.329938
8 92.006285 83.879541 14.009496
9 92.006285 86.057795 7.184049
10 92.006285 66.926355 38.06079
11 92.006285 78.505291 22.513812
12 92.006285 78.18928 21.970225
13 92.006285 69.743348 36.178943
14 92.382264 86.003264 7.027936
15 92.382264 83.163502 14.69831
16 92.413561 65.626808 39.407608
17 92.413561 84.188687 15.364345
18 92.413561 82.953045 17.292961
19 92.413561 66.749537 37.715511
20 92.413561 84.255545 13.805786
21 92.413561 82.062544 16.991264
22 92.413561 68.014353 36.609798
23 92.413561 85.146559 12.606639
24 93.019688 84.227223 12.581201
25 93.019688 65.767169 39.288999
26 93.019688 86.051692 9.518253
27 93.019688 86.409274 8.782792
28 93.019688 67.668284 37.529648
29 93.019688 83.863769 15.899948
