

gen best mean std
0 92.133573 5.72739 24.481944
1 92.133573 27.196899 33.686481
2 92.512404 58.826583 29.907894
3 92.512404 66.018028 34.879465
4 92.716796 78.063227 20.357776
5 92.716796 80.240754 17.675954
6 92.716796 81.049272 15.877709
7 92.716796 79.876172 18.823919
8 92.716796 67.583625 39.881125
9 92.716796 85.483345 14.634041
10 92.77505 84.668764 16.61199
11 92.77505 72.261018 37.018518
12 92.77505 87.337584 15.038444
13 92.916796 88.738231 11.107814
14 92.916796 90.327715 6.935036
15 92.916796 91.539022 1.070993
16 92.916796 71.421107 38.492789
17 92.916796 89.172604 11.086926
18 92.916796 85.862817 19.797248
19 93.116796 73.898932 35.595003
20 93.116796 87.004362 14.574508
21 93.116796 88.936638 10.235518
22 93.385064 72.18775 38.146981
23 93.385064 90.558528 5.478395
24 93.385064 91.167451 5.474406
25 93.585064 70.557306 39.425632
26 93.585064 90.745776 6.748078
27 93.585064 89.872819 11.138245
28 93.585064 73.272186 36.415635
29 93.585064 89.8455 9.495171
