

gen best mean std
0 75.561921 2.776855 17.78567
1 75.570654 25.021073 25.591015
2 88.819688 54.279653 24.275841
3 89.343229 59.780553 24.525912
4 89.343229 64.574353 22.497149
5 89.583229 66.52959 21.092957
6 89.583229 70.180831 19.992288
7 90.086611 75.118369 16.5005
8 90.086611 73.40804 16.351609
9 90.146611 77.808088 14.409137
10 90.146611 76.438113 14.241003
11 90.146611 79.192066 11.958991
12 90.146611 80.796055 10.633869
13 90.319361 81.762809 10.612613
14 90.319361 79.352938 14.436568
15 90.319361 76.353571 15.407461
16 90.319361 81.448023 11.155825
17 90.319361 80.745739 10.44112
18 90.319361 79.970969 12.865612
19 90.319361 78.023772 14.026384
