

gen best mean std
0 93.261683 14.971847 31.783084
1 93.261683 40.682562 39.909531
2 93.501683 65.583674 33.916761
3 93.746695 80.739124 19.788486
4 93.936796 84.478943 13.694474
5 93.936796 83.910222 16.912401
6 94.157198 71.667871 38.157099
7 94.262505 88.288791 11.866719
8 94.262505 87.956306 13.223923
9 94.262505 72.843489 37.088601
10 94.262505 86.163186 19.194711
11 94.262505 88.658756 12.942402
12 94.262505 71.256115 39.023106
13 94.262505 86.241575 21.489471
14 94.262505 88.206852 14.784569
15 94.262505 74.020402 36.997759
16 94.262505 89.368993 15.049336
17 94.262505 92.280999 1.657534
18 94.262505 71.891925 38.581884
19 94.262505 87.084978 20.279958
20 94.262505 92.380901 1.330433
21 94.262505 91.844882 4.516669
22 94.262505 91.745542 5.641199
23 94.262505 92.409744 1.254368
24 94.262505 72.234184 38.497515
25 94.262505 89.742954 14.631006
26 94.262505 92.511522 1.219572
27 94.262505 73.411808 37.225591
28 94.262505 89.090519 14.754133
29 94.262505 89.549651 10.606
