

gen best mean std
0 66.054579 0.650458 15.803812
1 88.096695 15.64506 23.461138
2 88.111733 36.547438 26.069821
3 89.411732 53.466217 21.053536
4 89.599688 60.207821 20.105328
5 89.599688 57.230318 18.982734
6 89.599688 66.532356 18.428508
7 89.599688 64.507553 18.774884
8 90.203414 64.68809 18.978521
9 90.623414 70.335603 18.288612
