

gen best mean std
0 91.933573 10.588289 31.16019
1 92.568788 33.010759 37.085576
2 92.568788 57.478749 31.180559
3 92.568788 61.932708 35.96052
4 93.776119 75.492947 23.175919
5 93.776119 80.882802 17.105621
6 93.776119 81.680206 16.95268
7 93.776119 65.62771 37.957498
8 93.776119 80.419419 20.786069
9 93.776119 81.892021 17.155542
10 93.776119 68.289135 40.186307
11 93.776119 84.778664 15.374304
12 93.776119 83.385753 12.669179
13 93.776119 80.100533 17.841158
14 93.976119 80.977072 17.518853
15 94.369562 81.48511 15.63291
16 94.369562 82.411233 15.546863
17 94.369562 81.870437 12.772355
18 94.369562 67.273555 38.567179
19 94.369562 83.716111 14.213148
20 94.369562 82.466568 15.037604
21 94.369562 69.568455 37.818743
22 94.369562 82.605899 17.469336
23 94.369562 84.409387 12.871691
24 94.369562 71.252 36.802096
25 94.369562 84.221085 16.56298
26 94.369562 84.414925 16.264596
27 94.369562 70.935926 37.088071
28 94.369562 83.011975 16.892347
29 94.369562 81.95619 17.226507
