

gen best mean std
0 87.514 4.343586 22.423345
1 91.072977 22.761009 34.768167
2 91.072977 44.943048 37.57773
3 91.072977 64.094742 38.321508
4 91.072977 80.725756 18.773921
5 91.072977 84.95184 9.344726
6 91.072977 84.399144 12.788996
7 91.072977 84.805458 11.894252
8 91.072977 64.454546 39.588349
9 91.072977 81.889233 18.574952
10 91.072977 82.11536 18.770455
11 91.072977 64.670962 39.210495
12 91.072977 81.91376 19.04112
13 91.972977 84.402365 12.475902
14 91.972977 86.062275 7.849273
15 91.972977 85.708543 9.504086
16 91.972977 86.194865 7.385078
17 91.972977 67.166704 37.85312
18 91.972977 84.622876 13.882978
19 91.972977 83.917942 12.766618
20 91.972977 65.683901 37.99994
21 91.972977 85.089213 10.444462
22 91.972977 85.505364 10.960312
23 91.972977 67.147214 37.56031
24 91.972977 78.55341 24.224168
25 91.972977 80.680236 20.731828
26 91.972977 65.753216 38.763168
27 91.972977 83.741045 14.529599
28 91.972977 84.107022 12.892797
29 91.972977 66.962239 37.817646
