

gen best mean std
0 91.858736 12.037192 32.391468
1 91.933573 23.639354 36.539797
2 91.933573 31.483287 37.289423
3 91.933573 38.106454 37.255255
4 91.933573 46.313876 35.666592
5 91.933573 55.9213 29.513172
6 91.933573 67.949287 21.736939
7 91.933573 72.562863 18.640876
8 91.933573 77.49536 14.957865
9 91.933573 79.137672 13.870907
10 91.933573 80.425937 12.746205
11 91.933573 81.610112 11.879739
12 92.694055 83.320691 10.263635
13 92.694055 84.964222 9.099365
14 92.694055 85.807674 8.327003
15 92.694055 87.126624 6.79382
16 92.694055 88.873392 3.795904
17 92.694055 89.858576 1.761702
18 92.694055 90.069402 1.492902
19 92.694055 90.143562 1.450198
20 93.332142 90.268335 1.415755
21 93.332142 90.325846 1.388389
22 93.332142 90.47812 1.342083
23 93.332142 90.594315 1.291636
24 93.332142 90.63364 1.244534
25 93.332142 90.712248 1.205831

gen best mean std
25 93.332142 90.712248 1.205831
