

gen best mean std
0 89.779361 3.617896 24.860006
1 89.779361 20.127122 37.892042
2 91.468118 42.859237 41.484907
3 91.825448 69.320247 31.699179
4 91.825448 77.364054 22.872518
5 91.825448 65.141984 39.311881
6 91.825448 81.615222 18.875588
7 91.825448 81.81746 19.023579
8 91.962264 65.309576 39.015145
9 91.962264 82.40201 18.281373
10 91.962264 73.357932 28.987501
11 91.962264 66.358244 38.940437
12 91.962264 82.183859 16.639975
13 91.962264 83.810931 15.193182
14 91.962264 66.281932 38.569641
15 91.962264 85.472479 10.619291
16 91.962264 85.042226 11.254558
17 91.962264 67.543909 37.726152
18 91.962264 83.661664 16.541886
19 92.022264 83.452773 17.032174
20 92.022264 83.872648 14.623395
21 92.022264 78.830997 22.922283
22 92.022264 66.796349 38.226348
23 92.022264 85.673812 9.475545
24 92.022264 86.087428 8.987485
25 92.092977 66.449672 37.990571
26 92.092977 86.270021 8.611017
27 92.092977 83.029273 16.259492
28 92.092977 68.426258 36.979036
29 92.092977 85.201561 10.14962
