

gen best mean std
0 48.701683 -2.861791 8.844876
1 74.822056 4.599788 16.559991
2 74.822056 17.476235 20.633672
3 74.822056 33.067816 24.040532
4 74.822056 45.639653 22.476199
5 74.822056 52.768422 21.456764
6 74.822056 58.451945 20.595225
7 75.113896 61.544678 18.376038
8 85.09004 63.353701 18.569388
9 85.09004 62.918418 19.977208
