

gen best mean std
0 91.699361 11.671797 32.796591
1 91.699361 36.809012 39.428676
2 91.699361 66.071568 31.338
3 91.699361 74.460696 24.986536
4 91.699361 79.844747 18.394272
5 91.699361 66.445502 37.641973
6 91.699361 83.384561 14.803351
7 91.699361 80.780695 19.573839
8 91.699361 65.98247 38.416631
9 91.699361 86.220431 7.08383
10 91.975982 83.821076 14.78117
11 91.975982 66.143425 38.192925
12 91.975982 83.559115 15.0423
13 92.283942 86.230239 6.944813
14 92.283942 85.221944 11.670912
15 92.283942 83.068853 15.516842
16 93.118336 66.384929 38.338
17 93.118336 80.268572 22.31879
18 93.118336 82.122266 18.911996
19 93.118336 68.067721 37.185625
20 93.118336 84.286004 14.175597
21 93.118336 85.746072 9.535062
22 93.118336 66.529097 37.299509
23 93.118336 85.931851 9.469375
24 93.118336 84.21414 13.571294
25 93.118336 69.308073 36.468248
26 93.118336 81.109741 21.532349
27 93.118336 83.744866 16.010911
28 93.512892 67.193099 38.190047
29 93.512892 85.692725 11.381393
