

gen best mean std
0 87.139358 3.486378 23.412783
1 92.234198 15.488444 33.465878
2 92.234198 34.877358 37.343767
3 92.234198 57.662758 38.118989
4 92.234198 72.510785 26.816013
5 92.234198 75.600484 24.742653
6 92.234198 68.9062 37.369329
7 92.234198 82.920209 18.417107
8 92.234198 77.968469 24.940652
9 92.234198 65.971257 38.606751
10 92.234198 79.165393 24.086604
11 92.234198 80.213962 21.473364
12 92.234198 65.064297 39.52379
13 92.234198 83.291621 17.05342
14 92.234198 82.538504 17.672984
15 92.234198 66.935625 38.273333
16 92.234198 81.076759 20.823282
17 92.234198 80.289177 19.045916
18 92.234198 67.425002 37.38234
19 92.234198 82.724733 17.186208
20 92.234198 83.728096 14.12896
21 92.234198 65.772325 38.421017
22 92.234198 81.736446 19.556992
23 92.234198 83.343648 15.756149
24 92.234198 80.738152 18.462503
25 92.234198 83.520972 12.603329
26 92.234198 84.2817 13.032724
27 92.234198 67.001504 37.663519
28 92.275982 81.610494 19.627445
29 92.275982 84.433075 12.5426
