

gen best mean std
0 91.782264 -0.879709 16.549954
1 91.782264 11.572485 30.023592
2 91.782264 31.798544 37.094456
3 91.782264 54.525631 38.161292
4 91.782264 68.905962 29.298018
5 91.782264 79.080772 18.829037
6 91.782264 65.746988 38.954677
7 91.782264 78.47392 24.754031
8 91.782264 81.754949 18.173084
9 91.782264 65.830818 38.927759
10 91.782264 83.844647 17.111802
11 91.782264 86.537311 8.493599
12 91.782264 67.339125 37.743315
13 91.782264 85.687759 8.524035
14 91.782264 86.622774 6.751559
15 91.782264 66.719738 38.06562
16 91.782264 86.361167 7.346651
17 91.782264 81.991923 20.116334
18 91.782264 68.238652 36.929785
19 91.782264 84.496052 14.173737
20 91.782264 82.201473 16.514808
21 91.782264 67.514503 38.060854
22 91.782264 79.951631 22.538606
23 91.782264 84.931576 13.305205
24 91.782264 64.861913 39.501158
25 91.782264 85.661491 10.73073
26 91.782264 86.43988 7.677914
27 91.782264 65.832348 38.521738
28 91.782264 84.535951 13.740864
29 91.782264 83.852427 15.275345
