

gen best mean std
0 57.98272 0.602284 14.44357
1 66.758253 13.961392 23.578768
2 66.758253 28.780424 22.994622
3 66.807043 37.943342 23.176237
4 66.82385 41.34299 22.565385
5 75.003548 45.549928 23.389814
6 87.139358 52.274491 19.632066
7 87.139358 57.504844 20.698538
8 87.139358 57.201754 23.827779
9 87.139358 60.077724 23.1286
