

gen best mean std
0 56.991187 0.995276 13.608796
1 75.588354 19.706283 25.835314
2 85.822348 38.024536 23.729679
3 85.822348 44.020231 22.378872
4 85.822348 52.476409 19.929384
5 86.335744 55.258257 19.471058
6 86.335744 53.370734 20.311994
7 87.006939 54.700148 20.664326
8 87.006939 53.314162 22.469938
9 87.006939 58.802207 19.881731
