

gen best mean std
0 57.16227 -2.605909 8.028816
1 57.601837 -2.605909 10.879226
2 57.601837 -2.605909 12.165508
3 75.330119 -2.605909 17.792989
4 75.330119 -2.605909 18.587679
5 75.330119 -2.605909 22.816567
6 75.330119 -2.605909 25.699743
7 75.330119 -2.605909 30.360663
8 75.330119 -2.605909 31.651265
9 75.330119 -2.605909 27.710136
10 75.330119 -2.605909 32.757171
11 75.330119 -2.605909 32.10245
12 75.330119 -2.605909 32.753255
13 75.330119 -2.605909 34.477088
NOT IMPROVING !!!!!!
14 75.330119 -2.605909 31.937757
15 75.330119 -2.605909 29.479256
16 75.330119 -2.605909 33.939695
17 75.330119 -2.605909 33.485073
18 75.330119 -2.605909 35.41115
19 75.330119 -2.605909 35.502328
NOT IMPROVING !!!!!!
20 75.330119 -2.605909 33.336069
21 75.330119 -2.605909 35.841325
22 75.330119 -2.605909 33.881001
23 75.330119 -2.605909 30.642329
24 75.330119 -2.605909 34.123932
25 75.330119 -2.605909 30.704268
26 75.330119 -2.605909 36.862961
27 75.330119 -2.605909 31.520952
28 75.330119 -2.605909 31.175621
29 75.601837 -2.605909 31.606866
