

gen best mean std
0 89.796054 7.649165 26.156159
1 92.612614 32.308376 35.238173
2 92.612614 60.523455 26.228174
3 92.612614 60.126088 36.88107
4 92.612614 76.234796 18.85885
5 92.612614 75.708864 21.893127
6 92.766278 77.820365 19.919972
7 92.766278 80.175625 16.599551
8 92.766278 78.144486 20.058821
9 93.012614 83.106674 14.883355
10 93.012614 82.147959 17.548181
11 93.012614 82.075745 17.210128
12 93.012614 83.177182 17.049497
13 93.012614 83.151609 14.847695
14 93.012614 70.17002 38.258974
15 93.012614 83.110793 20.315689
16 93.37505 84.662218 16.585074
17 93.37505 70.975585 37.818206
18 93.37505 81.767179 23.380535
19 93.37505 86.611709 14.003151
20 93.37505 70.008929 39.127594
21 93.37505 81.960189 23.059344
22 93.37505 84.721114 17.150203
23 93.37505 72.065445 38.318489
24 93.37505 86.910623 15.190966
25 93.37505 83.105891 20.592636
26 93.37505 72.917392 36.733886
27 93.37505 83.574778 21.070462
28 93.37505 84.747986 18.355101
29 93.37505 71.537354 38.533676
