

gen best mean std
0 92.912828 9.187385 27.680324
1 93.803414 28.471267 36.041012
2 93.803414 50.788028 38.047059
3 93.936796 66.876776 37.26891
4 93.936796 79.091464 22.593436
5 93.936796 85.185866 15.847848
6 93.936796 69.837364 38.718518
7 94.130514 86.93589 15.056192
8 94.207043 87.553245 11.441775
9 94.207043 86.940449 11.996411
10 94.296393 71.200686 38.631625
11 94.296393 87.645829 15.131626
12 94.296393 87.249712 14.329756
13 94.296393 72.964481 36.942742
14 94.296393 89.298257 11.669759
15 94.296393 89.515841 10.203151
16 94.296393 74.393617 36.28934
17 94.296393 89.150938 13.870338
18 94.296393 91.155215 7.490417
19 94.296393 70.472881 39.585734
20 94.296393 88.987825 13.984123
21 94.296393 91.71936 3.902061
22 94.296393 72.008978 38.517627
23 94.296393 87.232026 20.568146
24 94.296393 92.136661 1.561262
25 94.296393 74.561889 36.358615
26 94.296393 88.827871 15.621027
27 94.369562 92.112061 2.271395
28 94.369562 72.027237 38.533018
29 94.369562 87.988679 17.441635
