

gen best mean std
0 14.40814 -4.932203 4.135235
1 21.891761 -2.217782 7.430842
2 25.119451 2.38352 9.55969
3 29.630933 6.589304 11.09383
4 44.230256 11.565576 12.202899
5 44.230256 17.133866 12.93646
6 44.230256 18.439031 12.756809
7 55.446338 21.191459 15.468823
8 55.446338 27.418946 12.723477
9 55.446338 23.569384 15.401578
