

gen best mean std
0 90.993791 10.554883 27.339003
1 90.993791 34.394847 37.227184
2 91.307911 64.418498 30.872127
3 93.392828 72.058246 25.665463
4 93.392828 78.99763 16.563544
5 93.936796 72.03175 35.492432
6 93.936796 83.083903 18.755189
7 93.936796 80.54857 22.892702
8 94.198336 72.950716 36.21503
9 94.198336 87.745531 13.322486
10 94.198336 86.805574 15.17352
11 94.198336 90.116248 6.74488
12 94.198336 90.667507 7.640488
13 94.198336 91.699658 1.807909
14 94.198336 91.587084 3.143616
15 94.198336 90.909031 8.661736
16 94.198336 71.266556 39.53279
17 94.198336 90.998522 9.866867
18 94.198336 92.113161 2.118292
19 94.198336 72.894774 37.895561
20 94.237666 89.991297 13.327078
21 94.237666 92.332157 1.414414
22 94.237666 91.32725 8.972531
23 94.237666 69.962919 40.16714
24 94.237666 89.292198 15.357514
25 94.430514 91.562382 7.185236
26 94.430514 71.615104 39.181921
27 94.430514 87.538734 17.806039
28 94.430514 88.031114 15.256947
29 94.430514 69.654086 39.853869
