

gen best mean std
0 91.858736 9.809576 30.320217
1 91.933573 30.546906 38.662467
2 91.933573 64.458115 30.064297
3 92.333573 77.319811 21.022132
4 92.572379 79.104062 19.698711
5 92.572379 80.88111 18.021031
6 92.572379 70.697088 38.405632
7 92.643172 84.523873 17.312288
8 93.140414 84.466011 17.461099
9 93.140414 70.033431 39.651996
10 93.140414 86.635657 14.560295
11 93.140414 87.491241 11.896838
12 93.140414 72.894495 37.217342
13 93.140414 84.944942 16.767698
14 93.452892 88.168671 13.014178
15 93.542505 68.764759 40.668994
16 93.542505 88.055023 14.229087
17 93.542505 83.898663 21.848846
18 93.542505 69.991162 39.926457
19 93.542505 84.403564 18.523147
20 93.542505 79.179757 24.090897
21 93.542505 74.187962 36.390867
22 93.542505 86.626098 16.510059
23 93.542505 85.333303 18.010235
24 93.542505 70.777374 39.326978
25 93.542505 82.775241 22.799783
26 93.542505 84.636465 18.517827
27 93.542505 72.910304 36.65325
28 93.542505 74.808333 28.025473
29 93.542505 80.847443 20.201992
