

gen best mean std
0 86.959358 1.541316 18.641941
1 87.139358 9.782676 26.646127
2 87.357882 29.010629 35.226056
3 87.477882 44.220341 37.133749
4 91.501114 66.119902 32.200752
5 91.501114 67.683032 37.193655
6 91.501114 81.030383 20.554624
7 91.501114 84.675086 10.380131
8 91.501114 65.986452 38.876134
9 91.501114 82.524207 16.885383
10 91.501114 82.971273 14.661566
11 91.501114 66.765482 38.103144
12 91.501114 86.07199 8.957869
13 91.501114 86.561438 4.97529
14 91.501114 65.921803 38.45211
15 91.501114 80.514034 19.989916
16 91.501114 82.018977 15.03263
17 91.501114 82.33511 16.525894
18 91.501114 85.418996 9.456046
19 91.501114 64.88941 39.37511
20 91.501114 82.301935 18.028356
21 91.501114 83.742479 15.782528
22 91.501114 68.683794 36.84574
23 91.501114 83.507919 16.384713
24 91.501114 85.467751 10.403746
25 91.501114 66.855839 37.679334
26 91.501114 81.450544 19.23966
27 91.501114 85.559303 8.718126
28 91.962264 65.037154 38.877586
29 91.962264 82.476243 17.563855
