

gen best mean std
0 75.200907 6.324479 22.991011
1 75.200907 15.308975 25.191641
2 75.200907 28.528019 25.483663
3 75.416504 33.445402 32.432306
4 86.824051 38.647386 34.23833
5 86.824051 49.675834 30.538461
6 87.00307 38.759485 38.932652
7 87.224051 35.883417 40.60008
8 87.224051 48.238691 37.764974
9 91.124654 57.407425 34.343196
10 91.124654 41.96298 42.059516
11 91.124654 46.731199 40.87064
12 91.124654 56.929017 35.965988
13 91.124654 60.235573 34.658434
14 91.124654 48.4909 41.218798
15 91.124654 41.535114 43.319788
16 91.124654 40.828645 43.552568
17 91.124654 55.360975 38.065469
18 91.124654 40.098527 44.392917
19 91.124654 52.244388 41.444107
20 91.124654 60.148813 37.836807
21 91.124654 51.190257 43.246239
22 91.124654 49.208927 44.435751
23 91.124654 42.218255 46.465151
24 91.124654 43.184736 46.468478
25 91.124654 58.422024 39.331544
26 91.124654 48.598735 45.702388
27 91.124654 57.767771 42.14472
28 91.124654 48.793157 45.876368
29 91.124654 48.788103 45.910686
