

gen best mean std
0 74.904175 2.313995 17.99005
1 74.904175 7.133737 19.700414
2 74.904175 8.830682 20.261499
3 74.904175 12.432119 20.405368
4 87.624051 15.711748 20.867987
5 87.624051 19.139578 19.815579
6 87.624051 22.352917 19.565766
7 87.624051 24.545928 19.961186
8 87.624051 24.934536 19.681133
9 87.624051 28.011687 20.317641
10 87.624051 30.83512 19.845398
11 87.624051 31.960013 19.036947
12 87.624051 32.749614 18.719754
13 87.624051 33.631709 18.094218
14 87.624051 34.009701 18.000615
15 87.624051 34.461708 18.01481
16 87.624051 35.720164 17.9945
17 87.624051 37.179313 17.219596
18 87.624051 37.452055 16.995408
19 87.624051 38.08276 16.739174
20 87.624051 38.08276 16.739174
21 87.624051 38.444071 16.758034
22 87.624051 39.788236 16.757059
23 87.624051 40.141402 16.752523
24 87.624051 40.730963 16.442373
25 87.624051 41.153533 16.356546
26 87.624051 42.805523 16.51739
27 87.624051 43.226427 16.380636
28 87.624051 44.005451 16.415561
29 87.624051 44.077013 16.339386
