

gen best mean std
0 48.016064 0.33319 11.292477
1 48.016064 12.233259 14.886271
2 48.016064 20.255276 12.556889
3 65.769519 27.630466 13.647229
4 65.769519 33.831052 14.465669
5 65.769519 40.453016 14.17375
6 65.769519 45.698015 15.066417
7 65.769519 50.580845 11.518845
8 65.7894 51.901077 10.710874
9 65.7894 50.649834 12.820307
