

gen best mean std
0 30.159358 -2.919886 6.38069
1 30.159358 -2.798937 6.403732
2 30.159358 -2.77682 6.393864
3 30.159358 -2.669571 6.414216
4 30.159358 -2.572026 6.428196
5 30.159358 -2.379889 6.595711
6 30.159358 -2.372611 6.592358
7 30.159358 -2.087844 7.01151
8 30.159358 -2.073204 7.004848
9 30.159358 -2.064273 7.001126
10 30.159358 -1.790744 7.163199
11 30.159358 -1.782764 7.159593
12 30.159358 -1.774466 7.155831
13 30.159358 -1.770099 7.153828
14 30.159358 -1.761909 7.150046
15 30.159358 -1.667536 7.162674
16 30.159358 -1.663272 7.160659
17 30.159358 -1.658898 7.158533
18 30.159358 -1.381015 7.52176
19 30.159358 -1.375221 7.518998
20 30.159358 -1.36316 7.51326
21 30.159358 -1.267012 7.520174
22 30.159358 -1.264307 7.518824
23 30.159358 -1.261216 7.517288
24 30.159358 -1.257846 7.515595
25 30.159358 -1.255332 7.514355
26 30.159358 -1.251309 7.512417
27 30.159358 -1.248999 7.511276
28 30.159358 -1.247075 7.51032
29 30.159358 -1.241757 7.507795
