

gen best mean std
0 66.506939 -1.256834 12.225116
1 75.200907 11.555652 22.669045
2 75.5839 41.145377 23.165135
3 87.336796 52.75427 18.726741
4 87.443556 61.565408 14.646251
5 87.443556 65.704758 14.115188
6 87.745595 68.817845 15.626577
7 88.563229 73.952129 12.493601
8 89.519599 77.282521 11.530159
9 89.519599 77.103216 11.694292
