

gen best mean std
0 30.241098 -2.117349 8.235066
1 66.054579 17.055287 23.458011
2 66.054579 44.810703 24.274305
3 66.054579 55.461797 17.933887
4 66.054579 61.020467 12.709241
5 75.174 59.772467 14.834589
6 86.946677 63.494513 11.71769
7 86.946677 61.335235 15.130482
8 87.139358 66.229138 12.228188
9 87.139358 67.640348 14.246106
10 87.139358 70.018083 17.9728
11 87.139358 80.481257 10.564243
12 87.139358 80.453063 11.269923
13 87.139358 84.233997 5.022581
14 87.139358 84.959891 3.687888
15 89.419688 82.273557 10.143165
16 89.419688 85.156647 5.762459
17 89.479688 81.102362 11.68458
18 89.883229 79.728173 13.843892
19 90.243229 83.964153 8.391587
